Year,Ammonia (thousand tonnes),Nitrogen Oxides million tonnes,Sulphur Dioxide million tonnes,Non-methane volatile organic compounds million tonnes,pm10 thousand tonnes,pm2.5 thousand tonnes
1970,,2.677209587,6.325907092,2.03127305,465.3088704,409.5592059
1971,,2.664093067,5.982669203,2.044572705,423.8062978,366.3260748
1972,,2.642591556,5.746354335,2.074307759,387.1829272,327.1955205
1973,,2.786769759,5.903154324,2.177143627,399.2381374,332.1235228
1974,,2.625452368,5.417761884,2.149002356,373.6271292,312.227439
1975,,2.568843106,5.174703672,2.04932563,344.9133427,278.5964696
1976,,2.616262451,4.994976654,2.130690308,342.5625349,273.7469954
1977,,2.643592348,5.007306513,2.222457831,345.72355,276.106042
1978,,2.690767916,5.060514215,2.264300628,337.394194,264.5865863
1979,,2.789169523,5.381625728,2.32962429,347.5963633,270.6774412
1980,351.0638918,2.670694985,4.757546929,2.254843575,315.6890566,238.8480526
1981,350.416047,2.581655074,4.327556308,2.219455621,302.8186857,227.5273427
1982,354.1726307,2.558928618,4.1279801,2.262078171,295.2222637,222.1243102
1983,357.2325372,2.557513323,3.812964808,2.27781224,290.4141031,215.6254795
1984,348.8948066,2.511876167,3.658029909,2.335050227,253.7907503,189.6207946
1985,348.7259,2.603927593,3.684596757,2.36621004,286.6586966,215.5745122
1986,344.7361891,2.702593248,3.831473733,2.423345785,297.8493287,223.2929307
1987,343.3571762,2.79999148,3.82400719,2.497730088,293.1112836,212.5004246
1988,336.0717279,2.86240694,3.759014243,2.575196828,285.1484648,201.2504812
1989,332.3084877,2.890586797,3.631795091,2.639628447,279.2253259,194.685784
1990,344.0254324,2.880393003,3.681490465,2.721091856,274.5118828,188.7616605
1991,351.4602175,2.771799919,3.525465128,2.657765467,274.2008656,190.1373734
1992,339.4830264,2.709423851,3.457082343,2.581844408,266.0193171,185.2938436
1993,335.3299821,2.542554317,3.118334624,2.464063761,256.6661144,181.1857462
1994,338.3231265,2.432223391,2.657607242,2.381292817,246.9470448,171.3223559
1995,330.6459249,2.31605493,2.365583775,2.202512438,222.3520297,153.2593801
1996,333.8714267,2.212544278,2.011599736,2.130796057,218.9306783,151.5924023
1997,343.1517762,2.041781561,1.651090571,2.031848649,214.844106,151.7715073
1998,332.3841795,1.983600238,1.626133554,1.878613357,201.1187111,138.8166896
1999,333.9913345,1.866717817,1.242814862,1.700704461,191.5708767,134.6334119
2000,322.3253203,1.79772442,1.217263059,1.56666731,179.0878531,120.5209591
2001,320.8527011,1.758281605,1.132102382,1.48520519,177.0708211,117.8390043
2002,313.832935,1.678904293,1.01143457,1.401366197,155.3034214,102.827182
2003,304.1535908,1.660860706,0.989054836,1.291847136,153.5614777,101.2328863
2004,309.7290499,1.607018286,0.832808235,1.211352856,150.8762671,98.06456543
2005,304.4428413,1.586448008,0.709562391,1.136126937,147.2538873,95.98602365
2006,300.5415328,1.541660099,0.669516748,1.090466125,146.8279855,94.86506535
2007,292.1641803,1.471241031,0.589316253,1.053987883,142.7575292,92.55875224
2008,278.2718253,1.324860626,0.491556572,0.974680311,137.5792507,90.0971436
2009,277.656474,1.148509255,0.398851226,0.88343562,126.6841806,83.85762684
2010,278.9797509,1.122996527,0.427559275,0.855204554,129.4624699,86.88639103
2011,279.1709509,1.051297182,0.39097362,0.835202935,123.3826294,81.22121621
2012,274.8833309,1.072867451,0.439681259,0.823579537,125.4791719,82.17432716
2013,271.3094972,1.019671597,0.393156681,0.802996539,123.4779032,81.51903291
