Year,Farm General,Farm Specialist,Woodland General,Woodland Specialist,Reed Bed,Wet Meadow,Fast Flowing,Slow Stand,Seabirds,Wintering Water
1970,100,100,100,100,,,,,,
1971,99,99,104,102,,,,,,
1972,99,98,108,103,,,,,,
1973,100,97,111,102,,,,,,
1974,102,98,112,101,,,,,,
1975,105,100,111,100,100,100,100,100,,100
1976,106,101,108,99,105,102,95,108,,100
1977,107,101,103,98,104,103,90,113,,101
1978,105,98,99,96,99,104,85,116,,104
1979,104,93,96,95,91,106,80,116,,108
1980,102,87,95,95,83,109,76,116,,114
1981,101,81,94,96,77,111,76,114,,121
1982,100,74,93,95,71,113,78,112,,128
1983,99,68,93,94,67,114,82,112,,136
1984,99,63,93,93,64,113,87,112,,145
1985,98,59,92,91,63,110,90,112,,154
1986,97,55,91,89,64,106,92,112,100,163
1987,98,51,91,88,66,103,92,115,106,173
1988,99,50,92,87,69,100,92,120,108,182
1989,101,49,93,86,67,96,92,125,102,190
1990,103,47,92,83,65,92,91,130,97,196
1991,103,46,91,79,63,86,90,131,102,199
1992,101,44,91,75,63,80,89,131,106,201
1993,99,43,91,72,66,74,90,130,104,207
1994,97,42,93,70,70,71,91,131,103,215
1995,97,42,93,70,74,69,92,132,108,222
1996,97,41,93,71,76,67,91,133,107,227
1997,97,40,93,71,78,65,91,134,109,227
1998,98,39,95,70,82,63,91,137,102,225
1999,98,38,97,69,89,61,91,140,106,225
2000,98,38,99,68,95,61,91,143,103,225
2001,99,38,100,67,100,61,91,145,102,225
2002,100,38,100,66,104,60,91,147,100,224
2003,102,38,101,65,106,59,90,149,100,222
2004,102,37,102,65,107,57,89,151,90,221
2005,102,37,103,64,109,55,87,155,91,220
2006,100,36,104,64,111,53,86,157,93,218
2007,99,35,105,64,113,52,86,156,87,217
2008,96,34,106,64,115,51,84,154,83,216
2009,94,34,105,65,116,50,81,149,88,215
2010,92,33,104,66,115,49,77,144,85,212
2011,91,33,103,67,111,48,73,140,79,207
2012,90,31,100,66,105,47,69,136,77,201
2013,88,30,97,64,97,46,67,134,76,
